policy,sigma,episode,reset_seed,reward,steps,success,max_force,mean_force,violation_rate,pre_frac,contact_frac,manip_frac,manip_entered,near_object_frac,safe_contact_ratio,safe_contact_per_near,contact_avoidance_index,grasp_detected_frac,lift_active_frac,close_active_frac,min_dist
SAC_Value_2M,0.0,14,14,2206.901985233273,500,1.0,37.977904116691406,5.13928333008927,0.144,0.006,0.022,0.958,1.0,0.986,0.09090909090909091,0.002028397565922921,0.9979716024340771,0.0,0.0,0.0,0.00681444102666126
SAC_Value_2M,0.0,15,15,2120.0367070454045,500,1.0,63.51434008149491,7.6340911363774895,0.004,0.014,0.022,0.948,1.0,0.984,0.45454545454545453,0.01016260162601626,0.9898373983739838,0.0,0.0,0.0,0.0038823875801149944
SAC_Value_2M,0.0,16,16,2146.7983367356915,500,1.0,56.16989324348891,5.667761172420612,0.002,0.006,0.024,0.956,1.0,0.986,0.16666666666666666,0.004056795131845842,0.9959432048681541,0.0,0.0,0.0,0.0027024368253307867
SAC_Value_2M,0.0,17,17,2156.8327768236195,500,1.0,36.5028887899858,8.013653915311602,0.0,0.006,0.022,0.956,1.0,0.984,0.5454545454545454,0.012195121951219513,0.9878048780487805,0.0,0.0,0.0,0.01186806904054358
SAC_Value_2M,0.0,18,18,2144.2793348251466,500,1.0,30.182224506009224,5.083061633997603,0.006,0.008,0.028,0.952,1.0,0.988,0.5,0.01417004048582996,0.9858299595141701,0.0,0.0,0.0,0.008878074923675127
SAC_Value_2M,0.0,19,19,2127.412963392265,500,1.0,30.971520106967855,6.500452441165923,0.0,0.008,0.026,0.952,1.0,0.986,0.6153846153846154,0.016227180527383367,0.9837728194726166,0.0,0.0,0.0,0.0019405560089586931
SAC_Value_2M,0.0,20,20,34.59738805524194,500,0.0,92.10099585568902,3.7179277687068746,0.046,0.116,0.188,0.0,0.0,0.304,0.574468085106383,0.35526315789473684,0.6447368421052632,0.0,0.0,0.0,0.0359769784669582
SAC_Value_2M,0.0,21,21,2105.250850087893,500,1.0,56.167449424943904,5.32412425388593,0.004,0.01,0.032,0.942,1.0,0.984,0.3125,0.01016260162601626,0.9898373983739838,0.0,0.0,0.0,0.009923476959745324
SAC_Value_2M,0.0,22,22,420.3012653763481,500,0.0,67.31331847434755,3.478249023333354,0.148,0.11,0.122,0.174,1.0,0.406,0.39344262295081966,0.11822660098522167,0.8817733990147784,0.0,0.0,0.0,0.01252122219411848
SAC_Value_2M,0.0,23,23,134.9168020951981,500,0.0,66.20166929283936,3.8187701789403214,0.03,0.01,0.106,0.064,1.0,0.18,0.5660377358490566,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0,0.01926633932208542
SAC_Value_2M,0.0,24,24,1888.1232017709522,500,0.0,34.98126976573347,5.437505370286252,0.034,0.006,0.016,0.796,1.0,0.818,0.25,0.004889975550122249,0.9951100244498777,0.0,0.0,0.0,0.019503486592356678
